Sivir (adc)	50.68	51.99	52.65	52.61	52.04	51.36	50.79
Ezreal (adc)	47.79	48.56	48.36	48.27	48.38	48.22	47.90
Jhin (adc)	49.89	50.95	51.24	51.48	51.19	50.84	50.56
Sylas (mid)	48.53	49.06	49.44	49.79	50.12	50.12	50.90
Lulu (sup)	46.75	48.93	49.43	50.02	50.24	50.00	50.80
Kayn (jgl)	50.73	50.95	51.28	51.33	51.22	50.91	50.48
Diana (jgl)	54.14	53.40	52.65	51.79	51.18	50.40	50.37
Kai'Sa (adc)	49.06	48.83	48.67	49.00	49.01	48.79	48.97
Samira (adc)	53.15	51.90	51.00	50.81	50.52	50.51	49.83
Aatrox (top)	46.21	48.15	49.55	50.63	51.11	51.29	51.03
Lee Sin (jgl)	43.49	44.46	44.96	45.29	45.91	46.25	48.08
Yuumi (sup)	41.58	47.06	48.64	48.83	49.02	48.25	47.43
Lucian (adc)	48.20	48.45	48.43	48.79	49.49	49.20	48.40
Viktor (mid)	51.51	52.55	52.41	52.04	51.26	49.71	50.07
Nami (sup)	52.15	51.21	51.31	50.98	50.51	50.27	49.10
Caitlyn (adc)	49.19	49.01	49.29	49.62	49.85	49.86	50.64
Twitch (adc)	50.51	50.75	50.84	50.95	51.39	51.62	51.75
Draven (adc)	50.08	50.20	49.84	49.71	50.97	52.04	53.35
Darius (top)	48.79	49.21	49.58	50.46	51.17	51.42	52.31
Yasuo (mid)	51.94	50.52	49.58	48.68	48.41	48.65	49.66
Miss Fortune (adc)	52.88	51.96	52.09	52.01	51.48	50.69	50.98
Ashe (sup)	49.59	50.05	50.54	50.60	49.84	48.76	48.22
Zed (mid)	48.65	49.83	50.79	51.66	51.62	52.40	52.86
Ahri (mid)	48.34	48.59	49.44	49.75	50.17	49.84	50.40
Pyke (sup)	50.53	48.70	49.02	49.62	50.61	50.96	51.88
Yone (mid)	51.85	50.43	49.92	49.32	48.99	48.80	49.65
Karma (sup)	48.54	48.57	48.57	49.08	49.44	49.44	49.13
Viego (jgl)	49.91	49.42	48.79	48.19	48.09	47.72	47.81
Katarina (mid)	50.15	50.16	49.16	49.22	49.80	50.26	51.38
Vayne (adc)	49.36	50.53	50.07	50.13	49.61	49.56	49.37
Thresh (sup)	47.15	47.37	47.50	47.94	48.88	49.36	51.00
Akali (mid)	49.11	49.12	49.21	48.98	49.02	49.24	49.16
Jinx (adc)	48.23	48.53	48.63	48.84	49.26	50.38	48.57
Senna (sup)	50.22	49.12	48.85	49.41	50.12	50.80	49.70
Nautilus (sup)	50.40	49.31	48.74	48.94	48.75	48.99	48.45
Graves (jgl)	47.00	48.73	48.88	48.77	48.80	48.92	49.82
Mordekaiser (top)	52.37	51.80	52.72	52.40	51.73	51.58	48.30
Vex (mid)	50.87	50.78	51.83	51.91	51.99	51.39	52.02
Zeri (adc)	46.41	46.66	46.12	45.85	46.28	46.28	47.98
Master Yi (jgl)	53.82	52.43	52.23	52.09	51.98	51.92	53.57
Gangplank (top)	44.69	47.33	47.41	48.02	48.14	48.58	49.57
Morgana (sup)	51.52	51.56	51.47	51.05	50.12	48.90	49.03
Vladimir (mid)	50.27	50.76	50.71	51.01	51.03	51.13	50.53
Fiora (top)	49.14	49.61	49.94	49.97	49.80	49.71	49.27
Blitzcrank (sup)	50.85	49.38	49.45	49.82	49.76	50.56	50.34
Garen (top)	51.63	52.11	52.42	51.98	51.21	50.19	50.26
Amumu (sup)	52.73	52.53	52.16	52.45	51.83	51.44	50.96
Renekton (top)	48.52	48.31	48.60	49.06	49.05	49.02	50.24
