Sivir (adc)	1.31	0.66	-0.04	-0.57	-0.68	-0.57
Ezreal (adc)	0.77	-0.2	-0.09	0.11	-0.16	-0.32
Jhin (adc)	1.06	0.29	0.24	-0.29	-0.35	-0.28
Sylas (mid)	0.53	0.38	0.35	0.33	0.0	0.78
Lulu (sup)	2.18	0.5	0.59	0.22	-0.24	0.8
Kayn (jgl)	0.22	0.33	0.05	-0.11	-0.31	-0.43
Diana (jgl)	-0.74	-0.75	-0.86	-0.61	-0.78	-0.03
Kai'Sa (adc)	-0.23	-0.16	0.33	0.01	-0.22	0.18
Samira (adc)	-1.25	-0.9	-0.19	-0.29	-0.01	-0.68
Aatrox (top)	1.94	1.4	1.08	0.48	0.18	-0.26
Lee Sin (jgl)	0.97	0.5	0.33	0.62	0.34	1.83
Yuumi (sup)	5.48	1.58	0.19	0.19	-0.77	-0.82
Lucian (adc)	0.25	-0.02	0.36	0.7	-0.29	-0.8
Viktor (mid)	1.04	-0.14	-0.37	-0.78	-1.55	0.36
Nami (sup)	-0.94	0.1	-0.33	-0.47	-0.24	-1.17
Caitlyn (adc)	-0.18	0.28	0.33	0.23	0.01	0.78
Twitch (adc)	0.24	0.09	0.11	0.44	0.23	0.13
Draven (adc)	0.12	-0.36	-0.13	1.26	1.07	1.31
Darius (top)	0.42	0.37	0.88	0.71	0.25	0.89
Yasuo (mid)	-1.42	-0.94	-0.9	-0.27	0.24	1.01
Miss Fortune (adc)	-0.92	0.13	-0.08	-0.53	-0.79	0.29
Ashe (sup)	0.46	0.49	0.06	-0.76	-1.08	-0.54
Zed (mid)	1.18	0.96	0.87	-0.04	0.78	0.46
Ahri (mid)	0.25	0.85	0.31	0.42	-0.33	0.56
Pyke (sup)	-1.83	0.32	0.6	0.99	0.35	0.92
Yone (mid)	-1.42	-0.51	-0.6	-0.33	-0.19	0.85
Karma (sup)	0.03	0.0	0.51	0.36	0.0	-0.31
Viego (jgl)	-0.49	-0.63	-0.6	-0.1	-0.37	0.09
Katarina (mid)	0.01	-1.0	0.06	0.58	0.46	1.12
Vayne (adc)	1.17	-0.46	0.06	-0.52	-0.05	-0.19
Thresh (sup)	0.22	0.13	0.44	0.94	0.48	1.64
Akali (mid)	0.01	0.09	-0.23	0.04	0.22	-0.08
Jinx (adc)	0.3	0.1	0.21	0.42	1.12	-1.81
Senna (sup)	-1.1	-0.27	0.56	0.71	0.68	-1.1
Nautilus (sup)	-1.09	-0.57	0.2	-0.19	0.24	-0.54
Graves (jgl)	1.73	0.15	-0.11	0.03	0.12	0.9
Mordekaiser (top)	-0.57	0.92	-0.32	-0.67	-0.15	-3.28
Vex (mid)	-0.09	1.05	0.08	0.08	-0.6	0.63
Zeri (adc)	0.25	-0.54	-0.27	0.43	0.0	1.7
Master Yi (jgl)	-1.39	-0.2	-0.14	-0.11	-0.06	1.65
Gangplank (top)	2.64	0.08	0.61	0.12	0.44	0.99
Morgana (sup)	0.04	-0.09	-0.42	-0.93	-1.22	0.13
Vladimir (mid)	0.49	-0.05	0.3	0.02	0.1	-0.6
Fiora (top)	0.47	0.33	0.03	-0.17	-0.09	-0.44
Blitzcrank (sup)	-1.47	0.07	0.37	-0.06	0.8	-0.22
Garen (top)	0.48	0.31	-0.44	-0.77	-1.02	0.07
Amumu (sup)	-0.2	-0.37	0.29	-0.62	-0.39	-0.48
Renekton (top)	-0.21	0.29	0.46	-0.01	-0.03	1.22
Lux (sup)	-2.5	0.25	-0.49	-0.46	-1.0	0.97
Ekko (jgl)	0.38	0.12	-0.29	0.4	-0.27	-1.45
Janna (sup)	6.42	2.68	0.66	0.25	0.24	-0.15
Trundle (jgl)	-0.19	-0.45	0.16	-0.04	-0.86	-0.98
Fiddlesticks (jgl)	1.91	1.08	1.06	0.37	0.62	1.06
Renata Glasc (sup)	0.15	0.38	0.16	0.02	-0.19	-0.64
Leona (sup)	-1.36	-1.05	-0.26	-0.2	-0.01	1.64
Kha'Zix (jgl)	1.45	1.16	1.45	1.0	-0.47	-0.9
Ornn (top)	-0.04	0.09	0.12	-0.38	-0.84	-0.93
Jax (top)	-0.96	-0.21	-0.41	0.39	0.34	1.92
Soraka (sup)	6.62	2.41	0.51	-0.11	-0.77	-0.19
Shaco (jgl)	0.99	0.49	0.45	0.04	1.01	-0.05
Bel'Veth (jgl)	-0.69	-1.01	-0.23	-0.18	-0.74	2.85
Zac (jgl)	-0.22	-0.61	-0.3	0.05	-0.3	-1.36
Shen (top)	0.13	0.54	0.57	0.1	-0.6	0.72
Kalista (adc)	0.69	0.04	0.14	0.57	0.12	1.61
Vi (jgl)	0.68	-0.25	-0.61	-0.64	-0.74	-0.37
Wukong (jgl)	-1.17	-0.37	0.06	-0.31	-0.01	-0.11
Sett (top)	-0.5	-0.42	-0.4	-0.79	-0.04	-1.14
Aphelios (adc)	-0.69	-1.37	-0.64	-0.19	0.86	0.86
LeBlanc (mid)	1.44	-0.47	0.49	0.03	0.86	0.37
Xerath (sup)	-1.61	-0.19	-0.76	-0.7	-0.48	-2.69
Sion (top)	-0.68	-1.51	-0.2	-0.99	0.09	-0.95
Camille (top)	0.56	0.95	0.94	0.35	1.02	-2.8
Irelia (top)	0.39	0.07	-0.01	0.28	0.2	-0.79
Gnar (top)	0.8	0.74	1.0	-0.43	0.4	-0.72
Riven (top)	1.83	1.97	0.92	1.28	1.67	-0.09
Tristana (adc)	-0.64	-0.06	-0.05	-0.21	0.53	-1.12
Kindred (jgl)	0.29	0.8	0.95	1.27	0.44	1.63
Varus (adc)	-0.22	0.57	0.04	0.14	0.58	-0.98
Azir (mid)	2.03	0.38	0.32	0.64	0.6	-1.14
Zilean (sup)	8.91	5.66	0.68	-0.12	-0.81	0.57
Nilah (adc)	-0.16	-0.15	-0.55	-0.52	-0.47	-1.65
Seraphine (sup)	-1.79	0.01	0.11	-0.47	0.25	-0.98
Veigar (mid)	-0.4	-0.29	-0.41	-1.0	-0.93	-1.42
Lillia (jgl)	-0.62	-0.98	-0.61	-0.31	-0.91	0.97
Poppy (jgl)	0.88	-0.08	0.26	-0.31	-0.08	1.3
Jarvan IV (jgl)	-0.15	-0.27	0.32	-0.02	0.11	0.99
Elise (jgl)	1.62	1.33	0.42	0.87	1.0	0.34
Nidalee (jgl)	0.85	0.82	1.63	1.38	2.27	0.71
Pantheon (jgl)	0.89	-0.01	-0.01	-1.11	-0.28	-0.99
Zyra (sup)	-0.75	-0.41	-0.69	-0.18	-1.06	0.21
Hecarim (jgl)	1.24	0.24	0.28	0.12	1.15	-2.18
Kassadin (mid)	1.22	0.61	0.76	0.64	1.22	-0.64
Alistar (sup)	0.91	-0.83	-0.4	0.04	0.93	1.35
Swain (sup)	-2.39	-1.69	-1.14	-0.44	-0.55	-0.05
Shyvana (jgl)	-0.64	-0.2	-0.65	-1.45	-1.17	-1.17
Kayle (top)	-0.23	0.05	0.02	-0.4	-1.63	1.06
Volibear (jgl)	-0.8	0.18	0.24	0.12	0.51	-1.4
Teemo (top)	-0.62	-0.13	-0.69	-0.23	-0.91	0.2
Rammus (jgl)	-0.76	-0.65	-0.57	-0.67	0.77	-2.8
Bard (sup)	-1.55	1.17	1.47	1.03	0.78	-1.28
Olaf (top)	0.04	0.35	0.53	0.44	-0.54	0.26
Warwick (jgl)	-1.1	1.51	0.31	-0.44	-0.69	-0.53
Rakan (sup)	-0.71	-0.11	0.32	0.25	0.08	1.33
Rek'Sai (jgl)	2.12	1.91	2.48	2.56	0.2	2.03
Lissandra (mid)	0.82	0.07	0.58	0.04	-0.59	1.27
Gwen (top)	0.35	-0.13	-0.12	0.16	-0.67	0.94
Gragas (top)	0.4	0.97	1.25	1.12	1.14	-1.44
Rengar (jgl)	1.49	1.08	1.84	2.14	0.39	1.04
Nunu & Willump (jgl)	0.65	1.19	1.44	1.51	-0.57	1.18
Illaoi (top)	-0.89	-0.26	-0.48	0.05	-0.76	-0.14
Brand (sup)	-1.89	-1.22	-1.08	-1.09	-1.85	2.68
Sona (sup)	3.58	1.31	1.05	-1.41	0.13	0.63
Anivia (mid)	1.77	0.7	0.04	-0.13	0.83	-2.85
Akshan (mid)	-0.79	1.24	0.11	0.98	-0.35	-0.95
Xayah (adc)	-0.24	0.2	0.34	0.25	0.19	0.2
Taric (sup)	7.49	1.33	0.06	-0.89	1.32	-0.7
Tryndamere (top)	-0.2	-0.35	0.33	1.13	0.83	-1.58
Nasus (top)	-0.69	-0.11	-0.52	-1.06	0.4	-2.78
Malzahar (mid)	1.22	-0.55	-0.24	-1.28	-1.42	-1.05
Kog'Maw (adc)	-0.19	0.21	0.19	-0.35	0.3	-0.52
Evelynn (jgl)	1.6	0.91	1.26	0.37	0.22	-1.83
Fizz (mid)	0.3	-0.22	-0.1	-0.51	0.83	-2.12
Qiyana (mid)	2.39	0.96	1.13	1.62	1.22	0.32
Malphite (top)	1.18	-0.24	-0.02	-0.12	-0.78	-2.6
Talon (mid)	-0.2	1.34	0.82	1.56	0.52	-0.23
Nocturne (jgl)	0.77	0.06	-0.04	-0.92	0.03	-1.93
Yorick (top)	-1.27	-1.76	-1.15	-1.01	-0.47	0.13
Sejuani (jgl)	0.12	-0.42	0.05	-0.23	-0.02	-0.79
Taliyah (mid)	0.34	0.66	0.83	0.62	0.59	-2.19
Syndra (mid)	1.65	-0.64	-0.15	-0.05	1.31	1.02
Zoe (mid)	0.47	1.23	1.21	1.19	1.08	3.03
